27/02/2010 	3.791 	9.3	4.8 	8.8 	03	-34.51 	-72.19 	38.37
28/02/2010 	6.600 	6.6	6.6 	6.6 	01	-34.91 	-72.19 	42.50
01/03/2010 	4.800 	4.8	4.8 	4.8 	01	-33.90 	-71.42 	45.00
02/03/2010 	4.471 	4.8	4.3 	5.2 	03	-35.63 	-72.15 	45.10
03/03/2010 	4.500 	5.5	4.0 	6.1 	08	-33.86 	-72.29 	28.53
04/03/2010 	3.465 	5.9	2.9 	5.9 	04	-31.59 	-71.27 	49.67
05/03/2010 	4.702 	5.6	3.5 	6.5 	13	-35.29 	-72.58 	18.92
06/03/2010 	4.702 	4.9	4.4 	5.1 	05	-36.22 	-72.84 	20.70
07/03/2010 	4.939 	5.4	4.6 	6.0 	06	-34.98 	-72.16 	30.02
08/03/2010 	4.495 	4.7	4.0 	5.0 	13	-33.36 	-72.01 	11.32
09/03/2010 	4.171 	5.0	3.6 	5.4 	06	-34.65 	-72.09 	26.72
10/03/2010 	3.713 	4.9	3.5 	5.4 	07	-35.40 	-72.52 	22.61
11/03/2010 	4.044 	5.5	3.1 	6.9 	26	-34.31 	-72.02 	20.91
12/03/2010 	4.462 	4.8	3.9 	5.8 	24	-34.53 	-72.06 	24.51
13/03/2010 	4.465 	5.4	4.0 	6.0 	11	-35.08 	-72.41 	21.66
14/03/2010 	4.889 	5.3	4.6 	5.9 	11	-35.36 	-72.65 	23.52
15/03/2010 	4.393 	5.6	4.1 	6.0 	03	-30.52 	-72.28 	29.63
16/03/2010 	4.198 	5.9	4.3 	6.7 	07	-35.69 	-72.77 	29.07
17/03/2010 	3.668 	4.8	3.3 	5.5 	14	-36.11 	-72.04 	36.61
18/03/2010 	4.379 	4.8	3.8 	5.3 	12	-33.70 	-71.69 	38.69
19/03/2010 	3.784 	5.1	3.1 	5.9 	10	-34.25 	-72.18 	25.17
20/03/2010 	3.798 	4.9	3.4 	5.5 	09	-34.87 	-72.34 	29.27
21/03/2010 	4.143 	4.9	3.5 	5.9 	10	-33.30 	-71.87 	56.78
22/03/2010 	3.848 	4.6	3.3 	4.8 	05	-35.75 	-72.39 	31.16
23/03/2010 	4.178 	5.0	3.5 	5.1 	04	-36.44 	-72.55 	34.20
24/03/2010 	4.378 	5.0	3.6 	5.1 	05	-36.01 	-72.94 	34.06
25/03/2010 	4.305 	4.8	3.9 	5.3 	08	-33.28 	-71.88 	46.90
26/03/2010 	4.150 	5.0	3.7 	5.9 	08	-34.81 	-72.16 	34.62
27/03/2010 	3.798 	4.9	3.3 	5.4 	05	-34.61 	-72.11 	34.72
28/03/2010 	4.403 	5.5	3.9 	5.9 	04	-35.42 	-72.92 	29.30
29/03/2010 	4.610 	5.6	4.4 	5.8 	02	-34.70 	-71.91 	24.50
30/03/2010 	4.238 	4.3	4.1 	4.5 	03	-35.21 	-72.21 	26.70
31/03/2010 	4.400 	4.4	4.4 	4.4 	02	-34.76 	-72.19 	37.20
01/04/2010 	4.648 	4.9	4.3 	5.1 	06	-32.59 	-71.55 	40.83
